id,product_name,description,seo_keywords
15,Selenoid Switch Starter Isuzu Giga FTR240 24V,"Solenoid switch heavy duty untuk starter motor Isuzu Giga FTR240 24V, produksi 2004 sampai 2024. Kompatibel dengan starter yang dipasangkan ke mesin 4HF1 dan 4HG1, dua mesin diesel andalan Isuzu untuk kelas truk berat. Truk kelas Giga membutuhkan solenoid yang sanggup menangani arus jauh lebih besar dibanding truk medium seperti Elf atau NKR — makanya unit ini dirancang dengan spesifikasi heavy duty dari segi kontak point yang lebih tebal dan lilitan tembaga yang lebih kuat. Tegangan 24V DC, cocok untuk sistem kelistrikan standar Giga yang memakai dual battery 12V diseri. Perbedaan utama dengan solenoid NKR71: ukuran fisik lebih besar, kapasitas arus lebih tinggi, dan daya tahan lebih lama karena beban kerja Giga yang lebih berat di operasional jarak jauh antar provinsi. Indikator solenoid mulai lemah: starter kadang tidak responsif di pagi hari saat mesin dingin, atau perlu beberapa kali putar kunci baru mesin hidup. Kadang juga starter berbunyi ngelos — pinion tidak bisa mengunci ke ring gear karena plunger solenoid sudah macet. Berat 0.8 kg. Untuk armada Giga yang beroperasi di rute antar provinsi, solenoid adalah spare part wajib cadangan di toolbox karena kerusakannya bisa bikin truk mogok total di tengah perjalanan.","selenoid starter isuzu Giga FTR240, solenoid switch Giga 24V, selenoid starter 4HF1, selenoid starter 4HG1, spare part starter isuzu Giga, solenoid heavy duty Giga, selenoid 24V FTR240, onderdil starter Giga, solenoid switch truk Giga, isuzu Giga FTR240 starter"
16,Brake Master Assy NMR71,"Brake master cylinder assembly untuk Isuzu NMR71 dan Elf tahun 2008 sampai 2024. Ini adalah jantung sistem rem hidrolik truk Anda — saat pedal rem diinjak, piston di dalam bore 22.2 mm menekan cairan rem dan mengirimkan tekanan ke semua wheel cylinder atau caliper di keempat roda. Bore 22.2 mm dipilih Isuzu karena menghasilkan rasio tekanan yang pas untuk truk dengan gross vehicle weight di kisaran 5-8 ton. Body terbuat dari aluminium cor yang ringan tapi tahan korosi, dengan seal rubber khusus yang tidak memuai di suhu tinggi dan kompatibel dengan minyak rem DOT 3 maupun DOT 4. Sudah termasuk reservoir tank — langsung pasang tanpa beli terpisah. Direct fit ke mounting bolt pattern NMR71 original. Kalau pedal rem terasa sponge dan harus dipompa beberapa kali baru pakem, kemungkinan besar seal internal master cylinder sudah bocor dan udara masuk ke sistem. Gejala lain yang harus diwaspadai: rem blong sesaat setelah diinjak dalam, atau fluida rem berkurang terus padahal tidak ada kebocoran di selang dan kaliper. Berat total 2 kg. Saat pemasangan baru, lakukan bleeding di semua roda mulai dari roda yang paling jauh dari master cylinder sampai yang paling dekat. Jangan lupa cek kondisi brake booster sekalian — kalau booster bocor, master cylinder baru pun bisa cepat rusak.","brake master NMR71, master silinder rem isuzu NMR71, master rem elf NMR71, brake master assy NMR71, master rem isuzu elf 2008, spare part rem NMR71, master silinder 22.2mm, onderdil rem isuzu NMR71, master rem hidrolik elf, brake master cylinder NMR71"
17,Brake Master Assy Suzuki Carry ST100,"Suzuki Carry ST100 produksi 1983-1995 adalah kendaraan niaga ringan legendaris yang masih banyak beredar di jalan Indonesia. Sistem rem ST100 memang simpel — single circuit hydraulic — tapi sangat efektif untuk bobot kendaraan yang ringan. Brake master assembly ini punya bore diameter 19 mm, menghasilkan rasio tekanan yang sesuai untuk Carry ST100 yang bobot kotor maksimalnya sekitar 1.5 ton. Material aluminium cor untuk body utama, dilengkapi seal rubber yang tahan terhadap cairan DOT 3 dan DOT 4. Reservoir tank sudah include dalam satu paket, jadi tinggal buka yang lama pasang yang baru lalu bleed rem sampai bersih. Carry ST100 banyak dipakai untuk angkutan pedagang pasar, distribusi barang ringan, sampai kendaraan operasional toko — frekuensi pengereman sangat tinggi di kondisi jalan kota yang macet. Makanya master cylinder ST100 sering aus di bagian seal internal jauh sebelum body kendaraannya rusak. Tanda-tanda master cylinder perlu diganti: pedal rem turun pelan-pelan saat ditekan terus-menerus yang disebut bleeding down, atau minyak rem bocor masuk ke brake booster melalui seal belakang yang sudah retak. Berat 2 kg, direct fit tanpa modifikasi. Tips perawatan: ganti minyak rem setiap 20.000 km supaya seal tidak aus lebih cepat karena kontaminasi air yang menyerap dari udara lembab tropis.","brake master suzuki carry ST100, master silinder rem carry ST100, master rem carry 1983, brake master assy carry ST100, spare part rem suzuki carry, master rem bore 19mm, onderdil rem carry lama, master silinder carry ST100, suzuki carry rem, brake master cylinder carry"
18,Brake Master Assy Suzuki Carry Extra,"Generasi Suzuki Carry Extra 1995-2010 mengalami peningkatan signifikan pada sistem rem dibanding pendahulunya ST100. Perubahan paling kentara ada di bore diameter yang naik menjadi 20.6 mm — beda 1.6 mm dari ST100 yang cuma 19 mm. Mungkin kedengarannya kecil, tapi dampaknya nyata pada pedal feel yang lebih responsif dan kemampuan menghentikan kendaraan yang lebih berat. Carry Extra punya bobot kotor lebih tinggi dari ST100 sehingga butuh tekanan rem yang lebih besar. Body master cylinder dari aluminium cor dengan seal rubber kualitas OEM, reservoir tank terintegrasi langsung di atas unit. Carry Extra dipakai sebagai angkutan kota, pick up distribusi, bahkan banyak dijadikan armada ojek online roda empat dan kendaraan usaha kecil menengah di berbagai kota. Kombinasi muatan berat dan pola stop-and-go di lalu lintas kota besar bikin master cylinder bekerja sangat keras setiap hari. Kalau pedal rem terasa berat tapi rem kurang pakem, masalahnya mungkin di brake booster — tapi kalau pedal justru turun terus saat ditahan, itu tanda master cylinder bocor internal. Berat unit 2 kg. Perhatian penting: Carry Extra dan Carry Futura memakai bore diameter berbeda, jadi pastikan benar-benar Carry Extra sebelum order. Direct fit ke mounting point original tanpa bracket adapter.","brake master suzuki carry extra, master silinder carry extra, master rem carry extra 1995, brake master assy carry extra, spare part rem carry extra, master rem bore 20.6mm, onderdil rem suzuki, master silinder carry extra 2010, suzuki carry extra rem, brake cylinder carry extra"
19,Sedimeter Isuzu NMR81,"Sedimeter atau fuel water separator untuk Isuzu NMR81 dan Elf produksi 2010 sampai 2024. Kalau Anda belum tahu, sedimeter adalah filter khusus yang tugasnya memisahkan air dari solar sebelum bahan bakar masuk ke sistem injeksi. Ini sangat krusial untuk mesin diesel modern common rail yang dipakai NMR81 — injector generasi baru sangat sensitif terhadap kontaminasi air. Satu tetes air yang lolos ke injector bisa merusak nozzle senilai jutaan rupiah, dan kerusakan biasanya tidak bisa diperbaiki harus ganti baru. Filter element di dalam sedimeter ini punya rating 10 micron, cukup halus untuk menyaring partikel mikro sekaligus mengikat molekul air yang tercampur dalam solar. Sudah termasuk O-ring seals untuk memastikan tidak ada kebocoran di sambungan housing. Di Indonesia kualitas solar subsidi memang tidak selalu konsisten, terutama di daerah luar Jawa di mana kadar airnya bisa lebih tinggi dari standar. Makanya sedimeter harus rajin dikuras dan filter element diganti setiap 10.000-15.000 km. Tanda filter sudah jenuh: mesin kehilangan tenaga di putaran tinggi secara tiba-tiba, atau lampu indikator water in fuel menyala di dashboard. Berat 0.8 kg. Pemasangan plug-and-play di housing sedimeter asli NMR81, cukup pakai kunci pas biasa dan lap bersih untuk bersihkan area sekitar sebelum bongkar.","sedimeter isuzu NMR81, fuel water separator NMR81, filter solar elf NMR81, sedimeter isuzu elf 2010, water separator diesel NMR81, spare part filter solar elf, sedimeter 10 micron NMR81, filter air solar isuzu, onderdil sedimeter elf, NMR81 fuel filter"
20,Brake Master Assy Dyna BU30,"Toyota Dyna BU30 dan BU32 tahun 1995-2004 adalah truk medium paling populer di Indonesia untuk distribusi, konstruksi, dan angkutan logistik. Brake master assembly yang satu ini spesial karena punya bore diameter paling besar di kelasnya yaitu 25.4 mm atau tepat 1 inch. Bore sebesar ini menghasilkan tekanan hidrolik yang sangat kuat, mampu menghentikan truk bermuatan penuh 8 ton dari kecepatan jalan raya. Ini bedanya dengan master cylinder mobil penumpang yang bore-nya cuma di kisaran 20-22 mm — Dyna membutuhkan kapasitas fluida dan tekanan yang jauh lebih besar. Body aluminium cor tahan korosi, seal rubber tahan panas dari pemanasan akibat gesekan rem berat saat turunan panjang di pegunungan. Reservoir tank langsung include dalam satu paket, tinggal pasang dan bleed. Direct fit ke semua varian Dyna BU30 dan BU32 tanpa penyesuaian apapun. Masalah paling sering ditemui di lapangan: master cylinder bocor internal setelah 3-5 tahun pemakaian karena seal yang terkena cairan rem yang sudah kotor dan mengandung partikel karet. Gejalanya rem mendadak blong saat turunan panjang — ini situasi sangat berbahaya untuk truk muatan berat. Berat 2 kg. Saran dari pengalaman: selalu cek level minyak rem di reservoir setiap pagi sebelum truk jalan. Kalau level turun terus tanpa kebocoran kelihatan di selang atau kaliper, artinya master cylinder sudah waktunya diganti sebelum terjadi kecelakaan.","brake master dyna BU30, master silinder rem toyota dyna, master rem BU30 BU32, brake master assy dyna, master rem 25.4mm dyna, spare part rem toyota dyna, master silinder dyna 1995, onderdil rem dyna BU30, brake cylinder dyna, toyota dyna master rem"
21,Tie Rod End Isuzu TLD56,"Tie rod end ini khusus dipasang di Isuzu TLD56 dan Elf produksi 1995–2005. Bagi teman-teman mekanik yang sering ketemu gejala setir oleng atau bunyi kletek-kletek di kaki-kaki depan, komponen ini biasanya jadi tersangka utama. Roda depan terasa longgar saat dikemudikan? Cek dulu bagian tie rod end sebelum ganti part lain yang lebih mahal. Spesifikasinya: thread M16×1.5 dengan bahan steel alloy yang dibungkus rubber boot untuk melindungi dari air dan debu jalan. Komponen ini menyalurkan gerakan dari steering rack ke roda depan — kalau aus, akibatnya ban depan bisa tidak sejajar (toe-in/toe-out berubah) dan ban cepat habis sebelah. Pemasangan langsung baut tanpa modifikasi, cocok untuk truk Elf yang harian di jalanan kota maupun antar-kota. Berat sekitar 1,2 kg, ringan tapi strukturnya kokoh untuk menahan beban kendaraan niaga. Ganti tie rod end secara berkala bisa menghemat biaya ganti ban yang lebih besar. Sparepart ini juga sudah termasuk rubber boot, jadi tidak perlu beli terpisah.","tie rod end Isuzu TLD56, tie rod end Elf 1995, steering Isuzu Elf, kaki-kaki Isuzu TLD56, tie rod M16x1.5, sparepart steering truk, tie rod end heavy duty, komponen setir Isuzu, tie rod steel alloy, pengganti tie rod Isuzu"
22,Tie Rod End Mitsubishi PS100,"Kalau kamu punya Mitsubishi PS100 atau Canter tahun 1990–1998 dan mulai merasakan setir bergetar di kecepatan tinggi, kemungkinan besar tie rod end sudah minta diganti. Komponen steering ini menghubungkan steering linkage dengan knuckle roda depan. Begitu aus, celah di ball joint-nya bikin roda punya gerakan sendiri yang bikin pengemudi kehilangan kontrol presisi. Materialnya steel alloy dengan rubber boot penahan air dan lumpur — penting banget karena Canter sering dipakai di proyek konstruksi yang jalannya berat. Thread M16×1.5, sama persis dengan ukuran OEM asli Mitsubishi. Kategori heavy duty truck grade artinya dirancang untuk mengangkut beban berat secara konsisten tanpa cepat rusak. Berat 1,2 kg, pemasangan drop-in tinggal lepas yang lama pasang yang baru. Tips dari bengkel: sekalian cek boot-nya, kalau boot sobek tapi ball joint belum aus, bagian dalamnya sudah kemasukan pasir dan umurnya tinggal hitungan minggu. Bagi armada truk Canter yang operasional harian, mengganti tie rod end secara preventif tiap 50.000 km bisa mencegah kerusakan lebih parah di steering system.","tie rod end Mitsubishi PS100, tie rod Canter 1990, steering Mitsubishi Canter, kaki-kaki PS100, sparepart steering truk Mitsubishi, tie rod heavy duty M16, tie rod end truck grade, komponen setir Canter, tie rod Mitsubishi PS100, steering linkage PS100"
23,Brake Master Assy Suzuki ST20,"Rem blong itu mimpi buruk setiap pengemudi. Brake master assy untuk Suzuki Carry ST20 (1995–2010) ini adalah jantung dari sistem pengereman kendaraanmu. Komponen ini mengubah tekanan kaki di pedal rem menjadi tekanan hidrolik yang didistribusikan ke keempat roda. Bore diameter 19mm memberikan rasio tekanan yang pas untuk Carry — tidak terlalu keras, tidak terlalu lunak. Material cast aluminium dengan seal rubber tahan panas, dirancang untuk kondisi stop-and-go di jalanan Indonesia yang macet. Yang bikin praktis: langsung include reservoir tank, jadi tinggal pasang dan bleeding. Direct fit tanpa perlu bracket tambahan atau modifikasi apapun. Tanda-tanda master cylinder perlu diganti: pedal rem terasa sponge (empuk terus-terusan), minyak rem berkurang padahal tidak ada kebocoran di selang atau kaliper, atau mobil mundur pelan-pelan saat pedal rem dilepas. Komponen ini beratnya 2 kg, solid dan tahan lama untuk kendaraan komersial yang sering berhenti-berjalan. Carry ST20 banyak dipakai untuk angkutan barang dalam kota, jadi sistem rem yang responsif itu wajib hukumnya.","brake master Suzuki ST20, master silinder rem Carry, brake master assy Suzuki, rem hidrolik Carry ST20, master cylinder 19mm, komponen rem Suzuki Carry, brake master cast aluminium, sparepart rem truk ringan, master rem Carry 1995, reservoir tank rem Suzuki"
24,Hanger Spring Mitsubishi PS120 MC114412,"Pernah dengar bunyi gluduk-gluduk di belakang saat truk lewat jalan rusak? Kemungkinan hanger spring-nya sudah lemah atau bushing-nya habis. Hanger spring dengan OEM part number MC114412 ini adalah bracket penghubung antara chassis dan leaf spring di Mitsubishi PS120 / Fuso Canter tahun 1994–2005. Fungsinya menahan leaf spring agar tetap di posisinya sekaligus membiarkannya bergerak fleksibel saat kendaraan melewati jalan tidak rata. Material utamanya steel spring dengan rubber bushing yang meredam getaran — kombinasi kekuatan dan kenyamanan. Tanpa hanger spring yang sehat, leaf spring bisa bergeser dan menyebabkan kendaraan miring ke satu sisi, terutama saat muatan penuh. Ini bahaya banget untuk truk yang sering bawa barang berat. Berat komponen 3,5 kg, menunjukkan ketebalan material yang cukup untuk menopang beban komersial. Pemasangan relatif mudah: lepas baut lama, bersihkan area mounting, pasang yang baru dengan torque yang sesuai. Rubber bushing sudah termasuk dalam paket, jadi tidak perlu hunting part tambahan. Cocok untuk Fuso Canter yang dipakai distribusi logistik antar kota maupun operasional proyek.","hanger spring PS120, hanger spring Fuso Canter, MC114412 Mitsubishi, bracket leaf spring Canter, suspensi belakang PS120, hanger spring rubber bushing, sparepart suspensi Fuso, hanger spring 1994-2005, komponen suspensi truk Mitsubishi, leaf spring bracket PS120"
25,Shuckle Spring Front PS120,"Untuk Mitsubishi PS120 dan Fuso Canter 1994–2005 yang mulai terasa limbung di bagian depan — shuckle spring front ini jawabannya. Leaf spring type ini memang dirancang khusus untuk menopang beban depan kendaraan niaga. Saat truk kosong maupun muatan penuh, komponen inilah yang menahan benturan dari jalan dan menjaga kestabilan kendaraan. Material steel spring dengan rubber bushing untuk peredaman getaran. Spesifikasi heavy duty, artinya bukan aftermarket abal-abal yang cuma bertahan beberapa bulan. Yang menarik: sudah include U-bolt set, jadi pemasangan lebih efisien karena semua baut pengikat sudah tersedia dalam satu paket. Berat 3,5 kg — angka yang wajar untuk leaf spring kelas truk. Gejala shuckle spring perlu diganti: roda depan terasa tidak stabil saat menikung, ada bunyi berdecit dari area kaki-kaki depan, atau terlihat retak/pecah pada plat pegas saat diperiksa visual. Karena ini bagian depan, kerusakan langsung mempengaruhi kemudi dan keamanan pengemudi. Jangan tunggu sampai patah total di jalan. Untuk armada Canter yang beroperasi di rute dengan kondisi jalan bervariasi, inspeksi suspensi depan setiap 30.000 km sangat disarankan.","shuckle spring front PS120, leaf spring Fuso Canter, suspensi depan PS120, pegas daun Mitsubishi Canter, shuckle spring heavy duty, leaf spring front truck, sparepart suspensi depan PS120, U-bolt set spring, spring depan Canter 1994, komponen kaki-kaki Fuso"
26,Timing Belt Trooper Diesel 4JB1 Turbo,"Timing belt putus di mesin diesel itu sama artinya dengan overhaul mendadak — piston bisa nabrak klep dan kerusakannya bisa jutaan. Timing belt untuk Isuzu Trooper 4JB1-T Turbo Diesel (1988–1991) ini punya 127 gigi dengan lebar 25mm dan profil HTD (High Torque Drive). Spesifikasi ini sangat kritis: jumlah gigi harus tepat 127, kalau kurang atau lebih satu saja, timing mesin bisa meleset dan performa turun drastis. Profil HTD memastikan belt tidak slip saat mesin turbo bekerja di RPM tinggi dengan torsi besar. Bahan belt-nya dari komposit karet fiber yang tahan panas dan tahan regangan — penting karena ruang mesin Trooper diesel cukup panas terutama di iklim tropis Indonesia. Kualitas OEM artinya dimensi dan kekerasannya sama dengan belt original yang keluar dari pabrik. Berat cuma 0,8 kg, tapi fungsinya sangat vital. Penggantian timing belt sebaiknya tiap 60.000–80.000 km atau 4 tahun, mana yang lebih dulu. Saat ganti belt, sekalian periksa tensioner dan water pump karena aksesnya sama. Membongkar area timing belt dua kali lebih mahal daripada sekalian ganti semua. Mesin 4JB1-T ini populer di kalangan off-roader dan pengguna Trooper tua yang masih andal.","timing belt 4JB1-T, timing belt Isuzu Trooper, belt mesin diesel turbo, timing belt 127 teeth, HTD timing belt, sparepart mesin Trooper diesel, timing belt 25mm, belt truk Isuzu diesel, pengganti timing belt 4JB1, timing belt OEM quality"
27,Repair Kit Air Master Isuzu Giga FRR,"Sistem air brake di Isuzu Giga FRR (2004–2024) menggunakan tekanan udara untuk menggerakkan rem — dan air master adalah otak dari sistem ini. Ketika rem mulai lemah atau ada kebocoran udara, repair kit ini solusinya tanpa harus ganti unit air master utuh yang harganya jauh lebih mahal. Isi paketnya lengkap: diaphragm, springs, seals, dan repair manual. Semua komponen yang biasanya aus sudah disediakan sekaligus. Material cast aluminium dengan seal rubber tahan tekanan tinggi, sesuai dengan spesifikasi rem angin truk berat. Giga FRR termasuk truk kelas medium-heavy yang banyak dipakai untuk logistik kontainer dan distribusi antar pulau, jadi keandalan sistem rem adalah mutlak. Berat 2 kg, pemasangan membutuhkan keahlian mekanik yang paham sistem pneumatik — tapi dengan repair manual yang disertakan, prosesnya jadi lebih terstruktur. Tanda air master perlu overhaul: waktu respons rem lambat, tekanan angin di gauge turun terus meski mesin hidup, atau terdengar suara udara bocor dari area master cylinder. Repair kit ini jauh lebih ekonomis dibanding unit baru, dan performanya setara asalkan pemasangannya benar. Cocok untuk workshop yang sering menerima servis Giga FRR.","repair kit air master Giga FRR, air brake Isuzu Giga, repair kit rem angin, air master repair FRR, diaphragm rem angin truk, sparepart air brake Isuzu, repair kit pneumatik, komponen rem angin FRR, overhaul air master Giga, seal air master Isuzu"
28,Kit Valve Governor H07C Hino,"Mesin Hino H07C di Ranger FG210 dan FG220 (1988–1998) mengandalkan valve governor untuk mengatur RPM idle dan mencegah mesin over-rev. Kit ini berisi valve, spring, diaphragm, dan gasket set — satu paket lengkap untuk memperbaiki governor system yang bermasalah. Gejala governor rusak: RPM idle tidak stabil (naik-turun sendiri), mesin susah mati saat kunci diputar ke posisi off, atau mesin mendadak over-speed tanpa pedal gas diinjak. Kondisi terakhir ini sangat berbahaya untuk mesin diesel karena bisa menyebabkan runaway engine. Bahan materialnya tahan terhadap panas mesin diesel dan tekanan oli yang terus-menerus. H07C adalah mesin diesel 6-silinder inline yang banyak dipakai di truk medium Hino Ranger — populer di armada truk tambang dan logistik di Kalimantan serta Sumatra. Berat kit-nya 0,8 kg, ringan tapi isinya sangat spesifik. Pemasangan memerlukan ketelitian karena posisi governor berdekatan dengan fuel injection pump. Setelah pasang, perlu penyesuaian idle speed dan max RPM limit menggunakan tachometer. Bagi pemilik armada Ranger FG yang mesinnya sudah berusia 25-35 tahun, kit valve governor ini termasuk part wajib stok karena suku cadang semakin langka.","kit valve governor H07C, governor Hino Ranger FG210, valve governor FG220, sparepart governor mesin diesel, kit governor Hino H07C, regulator RPM Hino Ranger, diaphragm governor diesel, gasket governor H07C, komponen fuel system Hino, governor valve kit truk"
29,Bushing Kingpin Isuzu NKR71 66,"Kingpin bushing adalah bantalan yang memungkinkan roda depan berputar saat belok. Di Isuzu NKR71, NKR66, dan Elf (1993–2010), bushing kingpin yang aus bikin roda depan punya permainan bebas (play) yang bikin setir terasa goyang dan ban aus tidak rata. Set ini berisi 4 pcs bushing dari bahan bronze alloy — bukan sembarang kuningan, tapi campuran tembaga-timah yang punya daya tahan gesek jauh lebih baik dari steel biasa. Kelebihan bronze alloy: self-lubricating artinya dia punya sedikit pelumas alami yang mengurangi gesekan bahkan saat pelumas habis. Desain oil groove di permukaan bushing memastikan distribusi oli merata ke seluruh area gesek — kalau groov-nya tidak ada, bushing cepat kering dan aus. Harga Rp60.000 untuk 4 pcs sangat ekonomis untuk perbaikan yang dampaknya besar. Tanda bushing kingpin aus: setir bergetar di kecepatan 40-60 km/jam, roda depan terlihat miring saat diparkir di permukaan rata, atau bunyi ketuk-ketuk saat melewati polisi tidur. Pemasangan memerlukan press khusus, jadi sebaiknya dikerjakan di bengkel yang punya alatnya. Untuk truk Elf yang dipakai harian, ganti bushing kingpin setiap 80.000-100.000 km menjaga kestabilan dan memperpanjang umur ban.","bushing kingpin NKR71, bushing kingpin Isuzu Elf, kingpin bushing NKR66, bantalan roda depan Isuzu, bronze bushing kingpin, sparepart kaki-kaki Elf, bushing kingpin oil groove, set 4 pcs kingpin, komponen steering Isuzu NKR, bushing bronze alloy truk"
